route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,Halifax,1,Spring Garden,,3,,7476D9,000000
10,Halifax,10,Dalhousie,,3,,7476D9,000000
123,Halifax,123,Timberlea,,3,,7476D9,000000
127,Halifax,127,Cowie Hill Express,,3,,7476D9,000000
135,Halifax,135,Flamingo,,3,,7476D9,000000
136,Halifax,136,Farnham Gate,,3,,7476D9,000000
137,Halifax,137,Clayton Park,,3,,7476D9,000000
138,Halifax,138,Parkland,,3,,7476D9,000000
158,Halifax,158,Woodlawn Express,,3,,7476D9,000000
159,Halifax,159,Colby Express,,3,,7476D9,000000
161,Halifax,161,North Preston Express,,3,,7476D9,000000
165,Halifax,165,Caldwell Express,,3,,7476D9,000000
168A,Halifax,168A,Auburn Express,,3,,7476D9,000000
168B,Halifax,168B,Cherry Brook Express,,3,,7476D9,000000
182,Halifax,182,First Lake Express,,3,,7476D9,000000
183,Halifax,183,Springfield Express,,3,,7476D9,000000
185,Halifax,185,Millwood Express,,3,,7476D9,000000
186,Halifax,186,Beaver Bank Express,,3,,7476D9,000000
194,Halifax,194,West Bedford Express,,3,,7476D9,000000
196,Halifax,196,Basinview Express,,3,,7476D9,000000
2,Halifax,2,Fairview,,3,,7476D9,000000
21,Halifax,21,Lakeside - Timberlea,,3,,7476D9,000000
22,Halifax,22,Armdale,,3,,7476D9,000000
24,Halifax,24,Leiblin Park,,3,,7476D9,000000
25,Halifax,25,Governors Brook,,3,,7476D9,000000
26,Halifax,26,Springvale,,3,,7476D9,000000
28,Halifax,28,Bayers Lake,,3,,7476D9,000000
29,Halifax,29,Point Pleasant,,3,,7476D9,000000
3,Halifax,3,CrossTown,,3,,7476D9,000000
30A,Halifax,30A,Parkland,,3,,7476D9,000000
30B,Halifax,30B,Dunbrack,,3,,7476D9,000000
320,Halifax,320,Airport - Fall River,,3,,7476D9,000000
330,Halifax,330,Tantallon - Sheldrake Lake,,3,,7476D9,000000
370,Halifax,370,Porters Lake,,3,,7476D9,000000
39,Halifax,39,Flamingo,,3,,7476D9,000000
4,Halifax,4,Universities,,3,,7476D9,000000
401,Halifax,401,Porters Lake,,3,,7476D9,000000
415,Halifax,415,Purcells Cove,,3,,7476D9,000000
433,Halifax,433,Tantallon,,3,,7476D9,000000
5,Halifax,5,Portland,,3,,7476D9,000000
50,Halifax,50,Dockyard,,3,,7476D9,000000
51A,Halifax,51A,Windmill,,3,,7476D9,000000
51B,Halifax,51B,Windmill - Wrights Cove,,3,,7476D9,000000
53,Halifax,53,Highfield,,3,,7476D9,000000
54,Halifax,54,Montebello,,3,,7476D9,000000
55,Halifax,55,Port Wallace,,3,,7476D9,000000
56,Halifax,56,Dartmouth Crossing,,3,,7476D9,000000
57,Halifax,57,Portland Estates,,3,,7476D9,000000
58,Halifax,58,Woodlawn,,3,,7476D9,000000
59,Halifax,59,Colby,,3,,7476D9,000000
61,Halifax,61,North Preston,,3,,7476D9,000000
62,Halifax,62,Grahams Cove,,3,,7476D9,000000
63,Halifax,63,Mount Edward,,3,,7476D9,000000
64,Halifax,64,Burnside,,3,,7476D9,000000
65,Halifax,65,Caldwell,,3,,7476D9,000000
67,Halifax,67,Baker,,3,,7476D9,000000
68,Halifax,68,Cherry Brook,,3,,7476D9,000000
6A,Halifax,6A,Woodside,,3,,7476D9,000000
6B,Halifax,6B,Eastern Passage,,3,,7476D9,000000
6C,Halifax,6C,Heritage Hills,,3,,7476D9,000000
72,Halifax,72,Portland Hills,,3,,7476D9,000000
7A,Halifax,7A,Peninsula,,3,,7476D9,000000
7B,Halifax,7B,Peninsula,,3,,7476D9,000000
8,Halifax,8,Sackville Corridor,,3,,7476D9,000000
82,Halifax,82,First Lake,,3,,7476D9,000000
83,Halifax,83,Springfield,,3,,7476D9,000000
84,Halifax,84,Glendale,,3,,7476D9,000000
85,Halifax,85,Millwood,,3,,7476D9,000000
86,Halifax,86,Beaver Bank,,3,,7476D9,000000
87,Halifax,87,Sackville - Dartmouth,,3,,7476D9,000000
88,Halifax,88,Bedford Commons,,3,,7476D9,000000
90,Halifax,90,Larry Uteck,,3,,7476D9,000000
91,Halifax,91,Hemlock Ravine,,3,,7476D9,000000
93,Halifax,93,Bedford Highway,,3,,7476D9,000000
9A,Halifax,9A,Greystone,,3,,7476D9,000000
9B,Halifax,9B,Herring Cove,,3,,7476D9,000000
FerD,Halifax,FerD,Alderney Ferry,,4,,7476D9,000000
FerW,Halifax,FerW,Woodside Ferry,,4,,7476D9,000000
